provider_id,provider_name,provider_region,provider_network_status,provider_contract_type,provider_risk_tier,provider_group,provider_start_date
P1647,Dr. John Garcia,Northeast,Out-of-Network,Shared Savings,Medium,Group A,11/2/2015
P1648,Dr. Susan Anderson,West,In-Network,Capitated,High,Group B,2/9/2022
P1649,Dr. Robert Thomas,South,Out-of-Network,Value-Based,Low,Group A,4/11/2017
P1650,Dr. Elizabeth Miller,Midwest,In-Network,Fee-for-Service,Medium,Academic,8/3/2016
P1651,Dr. James Taylor,Midwest,Out-of-Network,Shared Savings,Low,Group A,5/15/2025
P1652,Dr. Patricia Garcia,Midwest,In-Network,Value-Based,Low,Group C,12/20/2025
P1653,Dr. Patricia Johnson,Northeast,Out-of-Network,Value-Based,Low,Group A,12/16/2025
P1654,Dr. Patricia Brown,Northeast,Out-of-Network,Fee-for-Service,Medium,Group B,5/14/2017
P1655,Dr. James Smith,Midwest,Out-of-Network,Fee-for-Service,Low,Group B,1/12/2018
P1656,Dr. Linda Johnson,Northeast,In-Network,Fee-for-Service,High,Group A,9/6/2016
P1657,Dr. Robert Garcia,West,In-Network,Value-Based,Low,Independent,5/30/2015
P1658,Dr. Richard Taylor,Northeast,Out-of-Network,Shared Savings,Low,Academic,3/17/2020
P1659,Dr. Michael Williams,Midwest,In-Network,Capitated,High,Academic,2/13/2015
P1660,Dr. Linda Smith,Northeast,In-Network,Capitated,Medium,Independent,2/21/2020
P1661,Dr. Patricia Davis,Midwest,Out-of-Network,Value-Based,Low,Group A,6/10/2017
P1662,Dr. Patricia Wilson,South,Out-of-Network,Fee-for-Service,Low,Group B,8/23/2018
P1663,Dr. Susan Williams,Northeast,Out-of-Network,Capitated,Low,Group B,7/4/2020
P1664,Dr. David Jones,West,In-Network,Fee-for-Service,Low,Group A,7/17/2015
P1665,Dr. Mary Jones,Midwest,Out-of-Network,Capitated,High,Group C,3/20/2020
P1666,Dr. James Taylor,Midwest,In-Network,Capitated,Low,Academic,1/31/2016
P1667,Dr. David Smith,Midwest,In-Network,Shared Savings,Low,Group C,3/8/2021
P1668,Dr. Jennifer Thomas,Midwest,In-Network,Fee-for-Service,Low,Academic,3/16/2019
P1669,Dr. Robert Miller,South,In-Network,Capitated,Low,Academic,11/8/2018
P1670,Dr. Mary Williams,South,In-Network,Fee-for-Service,High,Group A,2/20/2020
P1671,Dr. Michael Thomas,Midwest,Out-of-Network,Value-Based,Low,Group A,11/10/2023
P1672,Dr. David Thomas,Midwest,Out-of-Network,Value-Based,Low,Group B,1/27/2024
P1673,Dr. Barbara Miller,South,Out-of-Network,Capitated,Medium,Group B,12/6/2015
P1674,Dr. Susan Garcia,Northeast,In-Network,Fee-for-Service,High,Independent,9/6/2015
P1675,Dr. Barbara Williams,Northeast,In-Network,Fee-for-Service,High,Group B,6/28/2015
P1676,Dr. Barbara Wilson,Northeast,Out-of-Network,Capitated,Low,Group A,9/15/2024
P1677,Dr. Elizabeth Wilson,Northeast,In-Network,Shared Savings,High,Group B,5/29/2023
P1678,Dr. William Davis,Midwest,In-Network,Fee-for-Service,High,Group A,1/18/2022
P1679,Dr. Richard Smith,Midwest,In-Network,Shared Savings,Low,Independent,7/3/2015
P1680,Dr. Elizabeth Miller,South,Out-of-Network,Value-Based,Low,Group C,10/19/2019
P1681,Dr. Elizabeth Wilson,West,In-Network,Capitated,Medium,Independent,1/26/2016
P1682,Dr. Michael Jones,Northeast,In-Network,Shared Savings,Medium,Group A,12/5/2017
P1683,Dr. Linda Thomas,Northeast,In-Network,Capitated,Low,Group A,11/1/2021
P1684,Dr. David Thomas,Midwest,In-Network,Fee-for-Service,Low,Independent,1/14/2018
P1685,Dr. Barbara Brown,Northeast,Out-of-Network,Capitated,Medium,Group B,1/10/2022
P1686,Dr. John Johnson,Midwest,Out-of-Network,Shared Savings,Low,Group C,11/2/2016
P1687,Dr. William Davis,West,In-Network,Fee-for-Service,Low,Independent,5/12/2022
P1688,Dr. Linda Taylor,Northeast,Out-of-Network,Fee-for-Service,Low,Group A,11/8/2016
P1689,Dr. John Thomas,Midwest,In-Network,Capitated,Low,Group B,11/29/2020
P1690,Dr. Richard Wilson,Midwest,Out-of-Network,Fee-for-Service,Medium,Group A,10/19/2020
P1691,Dr. Patricia Wilson,West,Out-of-Network,Shared Savings,Medium,Independent,8/26/2015
P1692,Dr. Barbara Brown,Northeast,In-Network,Capitated,Low,Independent,11/14/2021
P1693,Dr. Robert Garcia,South,In-Network,Shared Savings,Medium,Independent,10/16/2018
P1694,Dr. Mary Brown,Midwest,Out-of-Network,Fee-for-Service,High,Group B,8/13/2024
P1695,Dr. Richard Smith,South,Out-of-Network,Capitated,High,Group C,4/7/2019
P1696,Dr. Linda Wilson,South,Out-of-Network,Fee-for-Service,High,Academic,8/7/2021
P1697,Dr. Susan Smith,South,Out-of-Network,Value-Based,Medium,Academic,7/8/2023
P1698,Dr. Patricia Thomas,Northeast,In-Network,Fee-for-Service,High,Group A,4/11/2022
P1699,Dr. John Brown,South,Out-of-Network,Value-Based,Low,Group C,10/31/2024
P1700,Dr. John Taylor,West,In-Network,Capitated,Medium,Independent,5/3/2017
P1701,Dr. James Williams,Northeast,Out-of-Network,Value-Based,Medium,Academic,11/28/2019
P1702,Dr. Michael Davis,Midwest,In-Network,Shared Savings,Medium,Independent,3/17/2025
P1703,Dr. Jennifer Taylor,West,Out-of-Network,Capitated,High,Group B,5/9/2017
P1704,Dr. Robert Jones,West,Out-of-Network,Shared Savings,High,Academic,12/17/2025
P1705,Dr. Elizabeth Anderson,South,Out-of-Network,Shared Savings,High,Academic,10/21/2022
P1706,Dr. Susan Taylor,Northeast,Out-of-Network,Capitated,Medium,Independent,11/13/2017
P1707,Dr. Elizabeth Smith,West,Out-of-Network,Shared Savings,Medium,Group A,8/28/2025
P1708,Dr. James Garcia,South,In-Network,Capitated,Low,Independent,11/2/2018
P1709,Dr. Robert Johnson,Northeast,Out-of-Network,Value-Based,Low,Group B,7/4/2020
P1710,Dr. William Anderson,West,Out-of-Network,Value-Based,High,Academic,11/22/2020
P1711,Dr. Barbara Miller,South,Out-of-Network,Shared Savings,Low,Independent,12/24/2017
P1712,Dr. David Smith,Midwest,In-Network,Capitated,High,Group B,6/3/2020
P1713,Dr. James Smith,South,Out-of-Network,Value-Based,Medium,Academic,2/28/2022
P1714,Dr. James Williams,West,Out-of-Network,Value-Based,Low,Academic,9/19/2015
P1715,Dr. Jennifer Thomas,West,In-Network,Value-Based,Low,Independent,4/30/2016
P1716,Dr. David Smith,Northeast,Out-of-Network,Capitated,Low,Independent,2/15/2024
P1717,Dr. Jennifer Anderson,South,Out-of-Network,Fee-for-Service,Low,Group A,11/4/2015
P1718,Dr. William Williams,West,Out-of-Network,Capitated,Low,Group B,10/5/2024
P1719,Dr. David Wilson,West,Out-of-Network,Capitated,High,Academic,3/12/2015
P1720,Dr. Patricia Wilson,South,In-Network,Shared Savings,High,Group C,10/26/2023
P1721,Dr. John Anderson,West,In-Network,Fee-for-Service,Medium,Independent,7/31/2021
P1722,Dr. Michael Thomas,West,Out-of-Network,Fee-for-Service,High,Group B,3/26/2016
P1723,Dr. Jennifer Williams,Northeast,In-Network,Fee-for-Service,Medium,Academic,11/5/2023
P1724,Dr. Patricia Taylor,Midwest,Out-of-Network,Value-Based,Medium,Group B,6/8/2016
P1725,Dr. William Wilson,South,Out-of-Network,Fee-for-Service,Medium,Group B,9/3/2024
P1726,Dr. David Smith,Midwest,Out-of-Network,Fee-for-Service,High,Group B,2/2/2017
P1727,Dr. Susan Garcia,Midwest,Out-of-Network,Value-Based,Low,Group B,5/30/2024
P1728,Dr. Patricia Miller,Northeast,Out-of-Network,Shared Savings,Medium,Independent,12/22/2021
P1729,Dr. Robert Anderson,South,Out-of-Network,Shared Savings,Medium,Independent,1/27/2020
P1730,Dr. Patricia Anderson,South,Out-of-Network,Shared Savings,Medium,Academic,4/23/2018
P1731,Dr. Susan Williams,West,Out-of-Network,Fee-for-Service,Medium,Academic,11/30/2024
P1732,Dr. Barbara Miller,Northeast,Out-of-Network,Value-Based,Medium,Independent,4/28/2017
P1733,Dr. Barbara Williams,South,In-Network,Value-Based,High,Group C,2/8/2024
P1734,Dr. Robert Wilson,Northeast,In-Network,Value-Based,Low,Academic,8/8/2022
P1735,Dr. Jennifer Wilson,West,In-Network,Capitated,Low,Independent,1/31/2023
P1736,Dr. Michael Thomas,South,In-Network,Capitated,Low,Independent,7/26/2022
P1737,Dr. Susan Johnson,South,Out-of-Network,Shared Savings,Medium,Group C,1/29/2016
P1738,Dr. Michael Smith,Midwest,In-Network,Capitated,High,Independent,12/21/2022
P1739,Dr. William Garcia,Midwest,In-Network,Shared Savings,Medium,Independent,5/14/2022
P1740,Dr. Elizabeth Smith,Midwest,In-Network,Fee-for-Service,Medium,Group C,10/24/2023
P1741,Dr. William Anderson,Northeast,Out-of-Network,Fee-for-Service,Low,Academic,12/17/2016
P1742,Dr. Elizabeth Taylor,Midwest,Out-of-Network,Shared Savings,Medium,Group B,4/13/2023
P1743,Dr. Robert Wilson,Northeast,Out-of-Network,Capitated,Low,Independent,10/6/2024
P1744,Dr. Jennifer Garcia,Midwest,Out-of-Network,Fee-for-Service,Low,Group B,7/28/2019
P1745,Dr. Robert Thomas,Midwest,In-Network,Value-Based,Medium,Group A,1/15/2019
P1746,Dr. Robert Williams,South,Out-of-Network,Value-Based,Medium,Group A,10/14/2015
P1747,Dr. James Miller,West,Out-of-Network,Shared Savings,Medium,Group A,4/3/2023
P1748,Dr. Robert Williams,South,In-Network,Shared Savings,Low,Group C,8/18/2021
P1749,Dr. Elizabeth Jones,Midwest,In-Network,Shared Savings,High,Group B,8/2/2023
P1750,Dr. Linda Johnson,South,In-Network,Capitated,High,Group C,8/8/2018
P1751,Dr. Barbara Johnson,South,Out-of-Network,Value-Based,High,Group A,2/2/2016
P1752,Dr. Robert Williams,Midwest,Out-of-Network,Shared Savings,High,Group B,9/12/2020
P1753,Dr. Patricia Garcia,Midwest,Out-of-Network,Value-Based,Low,Academic,8/1/2024
P1754,Dr. Mary Williams,Northeast,In-Network,Shared Savings,Medium,Academic,12/6/2018
P1755,Dr. Barbara Miller,Midwest,In-Network,Fee-for-Service,High,Group B,2/13/2015
P1756,Dr. James Garcia,Northeast,Out-of-Network,Value-Based,Low,Group A,5/11/2025
P1757,Dr. Jennifer Anderson,South,In-Network,Fee-for-Service,Low,Group B,6/20/2020
P1758,Dr. David Brown,South,In-Network,Value-Based,Low,Group A,12/8/2019
P1759,Dr. William Taylor,Northeast,In-Network,Value-Based,Medium,Group B,6/27/2022
P1760,Dr. Elizabeth Wilson,South,Out-of-Network,Shared Savings,Medium,Group A,9/2/2016
P1761,Dr. John Jones,Midwest,Out-of-Network,Value-Based,Low,Group B,7/23/2017
P1762,Dr. Barbara Johnson,Northeast,Out-of-Network,Shared Savings,High,Group B,12/13/2025
P1763,Dr. Robert Smith,West,In-Network,Value-Based,High,Group C,11/3/2020
P1764,Dr. John Brown,Northeast,Out-of-Network,Shared Savings,Medium,Academic,2/15/2017
P1765,Dr. Jennifer Jones,Midwest,In-Network,Fee-for-Service,High,Group A,10/29/2016
P1766,Dr. Richard Garcia,Northeast,Out-of-Network,Value-Based,High,Group A,12/15/2019
P1767,Dr. David Wilson,Midwest,Out-of-Network,Fee-for-Service,Low,Group B,6/14/2023
P1768,Dr. John Taylor,South,Out-of-Network,Fee-for-Service,High,Independent,2/1/2022
P1769,Dr. Patricia Williams,Midwest,Out-of-Network,Shared Savings,Medium,Academic,11/12/2021
P1770,Dr. James Johnson,South,Out-of-Network,Capitated,High,Independent,3/22/2025
P1771,Dr. Elizabeth Brown,West,Out-of-Network,Fee-for-Service,Low,Academic,5/20/2025
P1772,Dr. Elizabeth Taylor,West,In-Network,Value-Based,Low,Independent,9/28/2016
P1773,Dr. Michael Garcia,West,In-Network,Value-Based,High,Independent,4/1/2021
P1774,Dr. Elizabeth Taylor,Midwest,Out-of-Network,Value-Based,Medium,Group C,2/27/2015
P1775,Dr. Patricia Thomas,Northeast,In-Network,Fee-for-Service,Medium,Group C,1/7/2015
P1776,Dr. Susan Anderson,South,Out-of-Network,Capitated,High,Group C,6/20/2017
P1777,Dr. Linda Taylor,South,Out-of-Network,Shared Savings,High,Academic,7/28/2019
P1778,Dr. Mary Davis,West,Out-of-Network,Shared Savings,Medium,Group B,9/27/2021
P1779,Dr. John Garcia,Midwest,Out-of-Network,Shared Savings,High,Independent,5/19/2020
P1780,Dr. Linda Davis,Northeast,In-Network,Shared Savings,Medium,Academic,9/22/2015
P1781,Dr. Michael Anderson,Northeast,Out-of-Network,Shared Savings,High,Group B,4/20/2019
P1782,Dr. Robert Garcia,South,In-Network,Value-Based,Low,Group A,8/22/2025
P1783,Dr. Patricia Wilson,West,In-Network,Capitated,Medium,Group A,4/3/2024
P1784,Dr. William Smith,South,In-Network,Fee-for-Service,Low,Group A,1/3/2022
P1785,Dr. Elizabeth Williams,Midwest,In-Network,Shared Savings,Low,Group C,6/1/2023
P1786,Dr. David Jones,Northeast,Out-of-Network,Value-Based,Medium,Group C,10/24/2015
P1787,Dr. Patricia Jones,West,In-Network,Shared Savings,High,Group A,1/12/2019
P1788,Dr. John Johnson,South,In-Network,Fee-for-Service,High,Group A,10/31/2023
P1789,Dr. William Davis,West,In-Network,Shared Savings,Low,Group C,12/4/2023
P1790,Dr. John Garcia,South,Out-of-Network,Capitated,High,Independent,5/31/2025
P1791,Dr. Mary Jones,South,Out-of-Network,Fee-for-Service,High,Group B,5/27/2023
P1792,Dr. James Smith,Northeast,In-Network,Shared Savings,Low,Independent,8/27/2018
P1793,Dr. Richard Wilson,Northeast,In-Network,Capitated,Medium,Group A,4/30/2025
P1794,Dr. James Wilson,West,Out-of-Network,Capitated,High,Independent,6/17/2023
P1795,Dr. Jennifer Thomas,Midwest,In-Network,Fee-for-Service,Medium,Group A,2/9/2021
P1796,Dr. Elizabeth Jones,Northeast,Out-of-Network,Capitated,Low,Group A,4/16/2018
P1797,Dr. Mary Smith,Northeast,Out-of-Network,Capitated,Medium,Group A,9/12/2017
P1798,Dr. Elizabeth Anderson,Midwest,In-Network,Fee-for-Service,High,Group C,12/20/2017
P1799,Dr. Barbara Williams,Northeast,Out-of-Network,Shared Savings,Low,Academic,9/23/2020
P1800,Dr. Richard Wilson,West,Out-of-Network,Shared Savings,Low,Group B,2/19/2026
P1801,Dr. Patricia Brown,Midwest,Out-of-Network,Value-Based,High,Academic,2/7/2025
P1802,Dr. James Smith,West,Out-of-Network,Value-Based,High,Independent,11/15/2022
P1803,Dr. Michael Jones,Northeast,In-Network,Shared Savings,Medium,Group A,6/24/2025
P1804,Dr. Elizabeth Williams,South,In-Network,Fee-for-Service,Low,Group B,10/29/2023
P1805,Dr. Elizabeth Brown,South,Out-of-Network,Shared Savings,Low,Group A,8/6/2019
P1806,Dr. Elizabeth Williams,Northeast,Out-of-Network,Shared Savings,Low,Academic,1/2/2015
P1807,Dr. David Miller,South,Out-of-Network,Capitated,Low,Academic,6/7/2025
P1808,Dr. Jennifer Thomas,Midwest,Out-of-Network,Value-Based,High,Group A,1/19/2025
P1809,Dr. David Anderson,South,Out-of-Network,Fee-for-Service,Low,Group B,4/4/2016
P1810,Dr. Barbara Johnson,Midwest,In-Network,Fee-for-Service,Medium,Academic,1/15/2020
P1811,Dr. Michael Thomas,Midwest,In-Network,Value-Based,Low,Group B,3/4/2015
P1812,Dr. Jennifer Davis,Midwest,Out-of-Network,Capitated,Medium,Group B,1/3/2019
P1813,Dr. Barbara Garcia,South,Out-of-Network,Capitated,High,Group A,1/3/2025
P1814,Dr. Jennifer Miller,West,Out-of-Network,Capitated,High,Group C,3/14/2019
P1815,Dr. Mary Thomas,West,Out-of-Network,Value-Based,High,Group A,8/24/2018
P1816,Dr. Barbara Williams,South,Out-of-Network,Value-Based,High,Independent,3/25/2017
P1817,Dr. Richard Anderson,Northeast,Out-of-Network,Shared Savings,Low,Group C,4/17/2021
P1818,Dr. William Smith,West,In-Network,Capitated,Medium,Group A,4/10/2016
P1819,Dr. Robert Jones,West,Out-of-Network,Capitated,High,Independent,11/15/2020
P1820,Dr. Jennifer Anderson,West,Out-of-Network,Value-Based,Low,Group B,7/17/2015
P1821,Dr. Mary Anderson,Northeast,Out-of-Network,Value-Based,High,Group B,9/18/2021
P1822,Dr. James Brown,Northeast,Out-of-Network,Shared Savings,Low,Academic,11/26/2021
P1823,Dr. Susan Jones,Midwest,Out-of-Network,Value-Based,Medium,Group A,11/29/2023
P1824,Dr. Patricia Jones,Northeast,Out-of-Network,Fee-for-Service,High,Independent,9/15/2022
P1825,Dr. John Anderson,Midwest,In-Network,Fee-for-Service,High,Group A,5/26/2017
P1826,Dr. David Johnson,West,In-Network,Capitated,Low,Academic,11/21/2019
P1827,Dr. Elizabeth Wilson,Midwest,Out-of-Network,Fee-for-Service,Low,Group A,1/2/2025
P1828,Dr. William Taylor,West,Out-of-Network,Value-Based,High,Group B,2/27/2021
P1829,Dr. John Miller,West,In-Network,Shared Savings,Low,Group B,3/27/2017
P1830,Dr. Linda Thomas,Midwest,Out-of-Network,Capitated,High,Group A,3/18/2022
P1831,Dr. William Wilson,West,In-Network,Shared Savings,Low,Group B,3/15/2018
P1832,Dr. Patricia Davis,West,In-Network,Value-Based,High,Academic,1/11/2021
P1833,Dr. Mary Miller,West,Out-of-Network,Fee-for-Service,Medium,Group C,1/18/2021
P1834,Dr. Susan Williams,West,Out-of-Network,Value-Based,Low,Independent,2/28/2022
P1835,Dr. James Taylor,West,Out-of-Network,Capitated,Low,Academic,4/18/2016
P1836,Dr. Jennifer Wilson,West,Out-of-Network,Shared Savings,High,Group C,10/7/2017
P1837,Dr. Mary Wilson,South,In-Network,Value-Based,High,Academic,3/1/2015
P1838,Dr. Linda Taylor,Midwest,Out-of-Network,Value-Based,High,Group B,12/31/2024
P1839,Dr. Elizabeth Miller,West,In-Network,Capitated,Low,Group C,7/30/2016
P1840,Dr. John Jones,South,Out-of-Network,Capitated,Low,Group C,4/10/2024
P1841,Dr. Michael Williams,Northeast,In-Network,Fee-for-Service,Low,Independent,10/16/2020
P1842,Dr. David Brown,Midwest,Out-of-Network,Fee-for-Service,High,Group A,5/5/2019
P1843,Dr. Michael Miller,Northeast,In-Network,Capitated,High,Independent,8/27/2016
P1844,Dr. Robert Thomas,West,In-Network,Value-Based,High,Group B,1/30/2015
P1845,Dr. Jennifer Garcia,West,Out-of-Network,Value-Based,High,Group C,1/20/2020
P1846,Dr. William Williams,Midwest,Out-of-Network,Shared Savings,High,Academic,2/11/2026
P1847,Dr. William Jones,West,In-Network,Shared Savings,High,Independent,2/3/2026
P1848,Dr. Robert Johnson,Northeast,Out-of-Network,Fee-for-Service,High,Academic,6/30/2022
P1849,Dr. John Jones,West,Out-of-Network,Value-Based,High,Group C,10/31/2016
P1850,Dr. Susan Miller,Northeast,Out-of-Network,Value-Based,High,Group B,12/8/2018
P1851,Dr. Barbara Johnson,Midwest,Out-of-Network,Shared Savings,High,Independent,11/18/2022
P1852,Dr. Richard Williams,Northeast,In-Network,Fee-for-Service,Low,Independent,3/19/2019
P1853,Dr. Robert Thomas,Northeast,Out-of-Network,Fee-for-Service,Medium,Group A,12/5/2016
P1854,Dr. Susan Smith,Northeast,Out-of-Network,Shared Savings,Low,Academic,2/22/2016
P1855,Dr. Barbara Davis,South,In-Network,Value-Based,Low,Independent,10/5/2019
P1856,Dr. Richard Wilson,West,Out-of-Network,Fee-for-Service,High,Group A,5/5/2016
P1857,Dr. David Williams,West,In-Network,Fee-for-Service,Medium,Group A,5/5/2020
P1858,Dr. Susan Miller,Midwest,Out-of-Network,Capitated,Low,Group C,6/17/2018
P1859,Dr. Elizabeth Johnson,West,Out-of-Network,Shared Savings,Medium,Independent,3/19/2016
P1860,Dr. Linda Brown,Northeast,In-Network,Value-Based,High,Independent,8/16/2022
P1861,Dr. Robert Johnson,Northeast,In-Network,Shared Savings,High,Independent,7/26/2020
P1862,Dr. Mary Taylor,Midwest,Out-of-Network,Value-Based,Low,Academic,6/6/2021
P1863,Dr. Jennifer Taylor,West,In-Network,Value-Based,Medium,Independent,5/31/2021
P1864,Dr. John Miller,Midwest,Out-of-Network,Fee-for-Service,Medium,Group B,5/2/2015
P1865,Dr. Elizabeth Williams,Northeast,Out-of-Network,Value-Based,High,Group B,10/17/2015
P1866,Dr. Patricia Garcia,West,Out-of-Network,Shared Savings,Low,Independent,4/8/2017
P1867,Dr. John Smith,South,In-Network,Fee-for-Service,Low,Independent,6/23/2020
P1868,Dr. David Brown,Northeast,Out-of-Network,Fee-for-Service,Medium,Group C,11/16/2015
P1869,Dr. Barbara Miller,Midwest,In-Network,Shared Savings,High,Group A,9/11/2025
P1870,Dr. Linda Anderson,Midwest,Out-of-Network,Value-Based,Medium,Group A,12/2/2018
P1871,Dr. Robert Thomas,South,In-Network,Fee-for-Service,Medium,Academic,4/7/2015
P1872,Dr. Elizabeth Davis,West,In-Network,Shared Savings,High,Group C,8/26/2021
P1873,Dr. Robert Brown,Northeast,Out-of-Network,Value-Based,Low,Academic,3/14/2015
P1874,Dr. Richard Johnson,Midwest,In-Network,Capitated,Medium,Independent,6/1/2022
P1875,Dr. John Johnson,West,In-Network,Capitated,Medium,Independent,10/8/2025
P1876,Dr. Susan Jones,West,In-Network,Shared Savings,High,Independent,12/13/2016
P1877,Dr. Richard Thomas,Northeast,Out-of-Network,Value-Based,Low,Academic,2/5/2016
P1878,Dr. Elizabeth Johnson,Midwest,In-Network,Fee-for-Service,Medium,Group A,9/27/2015
P1879,Dr. David Williams,West,Out-of-Network,Shared Savings,Low,Group C,6/28/2017
P1880,Dr. James Jones,Midwest,In-Network,Shared Savings,Low,Independent,9/4/2022
P1881,Dr. Jennifer Jones,Midwest,In-Network,Shared Savings,Low,Academic,11/8/2023
P1882,Dr. Linda Brown,Midwest,In-Network,Value-Based,Low,Independent,1/20/2019
P1883,Dr. Elizabeth Williams,Northeast,In-Network,Value-Based,Low,Group B,2/28/2026
P1884,Dr. Susan Brown,West,Out-of-Network,Fee-for-Service,Low,Group A,4/2/2022
P1885,Dr. Barbara Williams,West,In-Network,Capitated,Medium,Group A,9/23/2021
P1886,Dr. Elizabeth Wilson,Midwest,Out-of-Network,Capitated,Medium,Group B,5/30/2025
P1887,Dr. Jennifer Williams,Northeast,In-Network,Shared Savings,Low,Group A,1/9/2018
P1888,Dr. Jennifer Jones,Midwest,In-Network,Fee-for-Service,Medium,Group A,2/7/2025
P1889,Dr. Linda Smith,South,In-Network,Shared Savings,Medium,Group C,4/14/2021
P1890,Dr. Patricia Williams,South,In-Network,Value-Based,Low,Independent,4/11/2024
P1891,Dr. Susan Williams,West,In-Network,Fee-for-Service,Low,Group C,1/6/2018
P1892,Dr. Richard Thomas,South,Out-of-Network,Capitated,High,Group A,4/9/2023
P1893,Dr. Elizabeth Davis,South,Out-of-Network,Capitated,Low,Group B,3/8/2019
P1894,Dr. Jennifer Jones,Midwest,In-Network,Value-Based,Medium,Academic,7/14/2022
P1895,Dr. Michael Jones,Midwest,Out-of-Network,Value-Based,High,Independent,2/11/2022
P1896,Dr. Linda Williams,South,Out-of-Network,Shared Savings,Low,Group B,6/24/2015
P1897,Dr. Michael Miller,South,Out-of-Network,Capitated,Medium,Group A,11/14/2024
P1898,Dr. Mary Thomas,Midwest,In-Network,Shared Savings,Medium,Academic,4/17/2017
P1899,Dr. Barbara Smith,Midwest,Out-of-Network,Fee-for-Service,High,Group B,1/4/2021
P1900,Dr. Robert Wilson,Northeast,In-Network,Shared Savings,High,Group C,6/19/2018
P1901,Dr. Richard Jones,Northeast,In-Network,Shared Savings,Medium,Group A,5/18/2015
P1902,Dr. Robert Smith,Northeast,In-Network,Capitated,Medium,Academic,1/9/2018
P1903,Dr. Patricia Thomas,West,In-Network,Capitated,Medium,Group B,4/9/2022
P1904,Dr. Susan Wilson,West,Out-of-Network,Shared Savings,Low,Academic,3/12/2019
P1905,Dr. Barbara Miller,Northeast,Out-of-Network,Value-Based,Medium,Academic,6/25/2018
P1906,Dr. Linda Williams,South,In-Network,Fee-for-Service,Low,Group C,11/2/2025
P1907,Dr. Michael Brown,Northeast,In-Network,Fee-for-Service,Medium,Group C,9/23/2025
P1908,Dr. Susan Miller,Midwest,In-Network,Shared Savings,High,Group A,9/29/2015
P1909,Dr. Linda Williams,Northeast,In-Network,Fee-for-Service,High,Group B,6/25/2023
P1910,Dr. Barbara Smith,West,In-Network,Value-Based,Medium,Group C,2/9/2017
P1911,Dr. Mary Wilson,Northeast,Out-of-Network,Shared Savings,Medium,Group A,11/7/2021
P1912,Dr. Linda Williams,Midwest,In-Network,Value-Based,Medium,Independent,8/20/2020
P1913,Dr. John Taylor,South,Out-of-Network,Value-Based,Low,Group C,6/14/2018
P1914,Dr. David Williams,Midwest,Out-of-Network,Capitated,Low,Independent,5/1/2017
P1915,Dr. Robert Anderson,Northeast,Out-of-Network,Value-Based,Low,Group B,11/14/2022
P1916,Dr. Jennifer Smith,Midwest,In-Network,Shared Savings,Medium,Group B,5/10/2017
P1917,Dr. John Taylor,Midwest,Out-of-Network,Value-Based,Medium,Group A,9/20/2024
P1918,Dr. Richard Smith,South,In-Network,Fee-for-Service,High,Group B,12/22/2017
P1919,Dr. Robert Wilson,South,In-Network,Value-Based,High,Group B,9/23/2020
P1920,Dr. James Anderson,South,In-Network,Capitated,High,Independent,6/16/2019
P1921,Dr. John Anderson,South,Out-of-Network,Shared Savings,Medium,Academic,8/9/2016
P1922,Dr. Richard Brown,Midwest,Out-of-Network,Capitated,Low,Independent,11/14/2021
P1923,Dr. William Garcia,Midwest,In-Network,Shared Savings,Low,Group B,12/30/2017
P1924,Dr. Richard Smith,Northeast,Out-of-Network,Capitated,Low,Independent,4/2/2018
P1925,Dr. Mary Garcia,West,Out-of-Network,Shared Savings,Medium,Independent,6/1/2019
P1926,Dr. Barbara Brown,South,In-Network,Fee-for-Service,High,Group B,5/21/2023
P1927,Dr. Barbara Taylor,West,In-Network,Shared Savings,Medium,Academic,10/3/2016
P1928,Dr. Patricia Jones,Northeast,Out-of-Network,Value-Based,Medium,Group A,10/30/2020
P1929,Dr. Barbara Taylor,Northeast,Out-of-Network,Capitated,Low,Academic,8/2/2023
P1930,Dr. John Anderson,West,Out-of-Network,Value-Based,Medium,Group B,8/30/2018
P1931,Dr. Mary Brown,Northeast,In-Network,Shared Savings,High,Group C,6/6/2016
P1932,Dr. Michael Brown,West,In-Network,Fee-for-Service,Medium,Independent,8/23/2024
P1933,Dr. Robert Thomas,South,In-Network,Fee-for-Service,Medium,Academic,3/5/2019
P1934,Dr. Richard Thomas,Northeast,In-Network,Shared Savings,High,Group A,3/12/2017
P1935,Dr. Linda Wilson,West,In-Network,Fee-for-Service,High,Group A,2/20/2021
P1936,Dr. William Smith,South,In-Network,Fee-for-Service,High,Independent,11/30/2025
P1937,Dr. William Wilson,Midwest,In-Network,Capitated,Low,Group A,7/20/2015
P1938,Dr. Susan Smith,Northeast,In-Network,Value-Based,Low,Group B,3/7/2017
P1939,Dr. Susan Wilson,Northeast,Out-of-Network,Shared Savings,Low,Group B,3/27/2015
P1940,Dr. Elizabeth Anderson,Midwest,Out-of-Network,Value-Based,Low,Group C,10/13/2017
P1941,Dr. Barbara Davis,West,Out-of-Network,Shared Savings,Low,Group A,12/25/2023
P1942,Dr. Mary Thomas,Midwest,In-Network,Value-Based,Medium,Group C,3/16/2015
P1943,Dr. Michael Jones,West,In-Network,Shared Savings,High,Academic,12/18/2021
P1944,Dr. Elizabeth Miller,Northeast,Out-of-Network,Value-Based,Low,Academic,6/9/2019
P1945,Dr. Elizabeth Miller,Midwest,In-Network,Value-Based,High,Academic,5/16/2018
